,business_id,short_inspect_date,risk_category,short_violation_id,p1_3,p4_6,p7_9,p10_12,p13_18,p19_24,p25_36
405,84165,20160209,Low Risk,103139,0,5,0,0,0,0,7
406,1144,20160929,Moderate Risk,103124,5,0,4,0,0,0,6
407,2418,20160113,Moderate Risk,103124,0,5,0,0,0,1,5
408,2282,20160510,Moderate Risk,103132,0,0,4,0,0,0,4
409,26379,20171004,Moderate Risk,103133,0,2,0,0,0,0,4
410,62277,20180221,High Risk,103103,3,0,0,0,0,2,4
411,2902,20151223,Moderate Risk,103119,0,0,5,0,0,0,5
412,29610,20160217,High Risk,103103,0,0,6,0,0,6,8
413,62597,20171213,Moderate Risk,103133,0,5,0,0,0,2,4
414,3222,20171117,Moderate Risk,103120,0,3,0,0,0,0,3
